event	utc_timestamp
first_launch_requested	2026-08-01T15:55:16.805Z
first_launch_returned	2026-08-01T15:55:17.804Z
generated_ledger_observed	2026-08-01T15:55:20.650Z
background_app_launch_requested	2026-08-01T15:55:20.670Z
background_app_launch_returned	2026-08-01T15:55:21.632Z
background_event_observed	2026-08-01T15:55:25.634Z
background_flush_completed_observed	2026-08-01T15:55:32.604Z
termination_requested	2026-08-01T15:55:32.678Z
first_process_terminated	2026-08-01T15:55:32.690Z
collector_start_requested	2026-08-01T15:55:32.992Z
collector_ready	2026-08-01T15:55:33.620Z
resume_launch_requested	2026-08-01T15:55:33.625Z
resume_launch_returned	2026-08-01T15:55:34.727Z
capture_window_complete	2026-08-01T15:56:04.760Z
