event	utc_timestamp
first_launch_requested	2026-08-01T14:48:00.015Z
first_launch_returned	2026-08-01T14:48:01.953Z
generated_ledger_observed	2026-08-01T14:48:04.470Z
background_app_launch_requested	2026-08-01T14:48:04.494Z
background_app_launch_returned	2026-08-01T14:48:06.285Z
background_event_observed	2026-08-01T14:48:10.703Z
background_flush_completed_observed	2026-08-01T14:48:10.857Z
termination_requested	2026-08-01T14:48:10.961Z
first_process_terminated	2026-08-01T14:48:10.988Z
collector_start_requested	2026-08-01T14:48:11.716Z
collector_ready	2026-08-01T14:48:13.452Z
resume_launch_requested	2026-08-01T14:48:13.473Z
resume_launch_returned	2026-08-01T14:48:15.370Z
capture_window_complete	2026-08-01T14:48:45.438Z
