event	utc_timestamp
first_launch_requested	2026-08-01T15:10:04.800Z
first_launch_returned	2026-08-01T15:10:05.144Z
generated_ledger_observed	2026-08-01T15:10:06.009Z
background_app_launch_requested	2026-08-01T15:10:06.016Z
background_app_launch_returned	2026-08-01T15:10:06.493Z
background_event_observed	2026-08-01T15:10:07.822Z
background_flush_completed_observed	2026-08-01T15:10:07.892Z
termination_requested	2026-08-01T15:10:07.998Z
first_process_terminated	2026-08-01T15:10:08.021Z
collector_start_requested	2026-08-01T15:10:08.252Z
collector_ready	2026-08-01T15:10:09.188Z
resume_launch_requested	2026-08-01T15:10:09.194Z
resume_launch_returned	2026-08-01T15:10:09.600Z
capture_window_complete	2026-08-01T15:10:39.621Z
