event	utc_timestamp
first_launch_requested	2026-08-01T13:33:45.554Z
first_launch_returned	2026-08-01T13:33:45.979Z
generated_ledger_observed	2026-08-01T13:33:46.818Z
termination_requested	2026-08-01T13:33:46.837Z
first_process_terminated	2026-08-01T13:33:46.848Z
collector_start_requested	2026-08-01T13:33:46.963Z
collector_ready	2026-08-01T13:33:47.535Z
resume_launch_requested	2026-08-01T13:33:47.540Z
resume_launch_returned	2026-08-01T13:33:47.901Z
capture_window_complete	2026-08-01T13:34:17.921Z
