event	utc_timestamp
first_launch_requested	2026-08-01T15:33:56.810Z
first_launch_returned	2026-08-01T15:33:57.173Z
generated_ledger_observed	2026-08-01T15:33:58.115Z
background_app_launch_requested	2026-08-01T15:33:58.122Z
background_app_launch_returned	2026-08-01T15:33:58.628Z
background_event_observed	2026-08-01T15:34:00.090Z
background_flush_completed_observed	2026-08-01T15:34:00.255Z
termination_requested	2026-08-01T15:34:00.550Z
first_process_terminated	2026-08-01T15:34:00.632Z
collector_start_requested	2026-08-01T15:34:01.365Z
collector_ready	2026-08-01T15:34:01.942Z
resume_launch_requested	2026-08-01T15:34:01.947Z
resume_launch_returned	2026-08-01T15:34:02.364Z
capture_window_complete	2026-08-01T15:34:32.386Z
