event	utc_timestamp
first_launch_requested	2026-08-01T14:33:23.689Z
first_launch_returned	2026-08-01T14:33:24.158Z
generated_ledger_observed	2026-08-01T14:33:25.522Z
background_app_launch_requested	2026-08-01T14:33:25.538Z
background_app_launch_returned	2026-08-01T14:33:26.273Z
background_event_observed	2026-08-01T14:33:28.829Z
background_flush_completed_observed	2026-08-01T14:33:29.032Z
termination_requested	2026-08-01T14:33:29.159Z
first_process_terminated	2026-08-01T14:33:29.176Z
collector_start_requested	2026-08-01T14:33:29.753Z
collector_ready	2026-08-01T14:33:30.463Z
resume_launch_requested	2026-08-01T14:33:30.473Z
resume_launch_returned	2026-08-01T14:33:31.176Z
capture_window_complete	2026-08-01T14:34:01.198Z
