event	utc_timestamp
first_launch_requested	2026-08-01T15:53:15.111Z
first_launch_returned	2026-08-01T15:53:16.182Z
generated_ledger_observed	2026-08-01T15:53:19.538Z
background_app_launch_requested	2026-08-01T15:53:19.552Z
background_app_launch_returned	2026-08-01T15:53:20.786Z
background_event_observed	2026-08-01T15:53:25.506Z
background_flush_completed_observed	2026-08-01T15:53:26.408Z
termination_requested	2026-08-01T15:53:26.596Z
first_process_terminated	2026-08-01T15:53:26.632Z
collector_start_requested	2026-08-01T15:53:27.663Z
collector_ready	2026-08-01T15:53:29.157Z
resume_launch_requested	2026-08-01T15:53:29.175Z
resume_launch_returned	2026-08-01T15:53:30.809Z
capture_window_complete	2026-08-01T15:54:00.839Z
