event	utc_timestamp
first_launch_requested	2026-08-01T15:30:50.544Z
first_launch_returned	2026-08-01T15:30:51.213Z
generated_ledger_observed	2026-08-01T15:30:52.794Z
background_app_launch_requested	2026-08-01T15:30:52.804Z
background_app_launch_returned	2026-08-01T15:30:53.587Z
background_event_observed	2026-08-01T15:30:56.595Z
background_flush_completed_observed	2026-08-01T15:30:56.692Z
termination_requested	2026-08-01T15:30:56.795Z
first_process_terminated	2026-08-01T15:30:56.822Z
collector_start_requested	2026-08-01T15:30:57.291Z
collector_ready	2026-08-01T15:30:58.289Z
resume_launch_requested	2026-08-01T15:30:58.309Z
resume_launch_returned	2026-08-01T15:30:59.220Z
capture_window_complete	2026-08-01T15:31:29.257Z
