event	utc_timestamp
first_launch_requested	2026-08-01T14:52:00.060Z
first_launch_returned	2026-08-01T14:52:00.947Z
generated_ledger_observed	2026-08-01T14:52:03.200Z
background_app_launch_requested	2026-08-01T14:52:03.216Z
background_app_launch_returned	2026-08-01T14:52:04.014Z
background_event_observed	2026-08-01T14:52:07.662Z
background_flush_completed_observed	2026-08-01T14:52:07.836Z
termination_requested	2026-08-01T14:52:07.941Z
first_process_terminated	2026-08-01T14:52:07.960Z
collector_start_requested	2026-08-01T14:52:08.369Z
collector_ready	2026-08-01T14:52:09.498Z
resume_launch_requested	2026-08-01T14:52:09.513Z
resume_launch_returned	2026-08-01T14:52:11.151Z
capture_window_complete	2026-08-01T14:52:41.180Z
